en_text,fa_text
suck my dick.,بیا کیرمو بخور
"it was an accident, okay?",اتفاقی بود. باشه؟
"joey! what has gotten into you, boy?",! جویی تو چت شده پسر؟
22 got her pass?,شماره ۲۲ مجوزش رو گرفته؟
like this penalty one.,مثل این خاطره‌ی محروم شدن
"miss doctor, this body's soul is in this cat.",خانم دکتر روح این بدن توی این گربه اس
"so if your souls are here, where are your bodies?",خب، اگه روح هاتون اینجاست پس بدنتون کجاست؟
dew point is steady! wind shear is good!,! نقطه شبنم پایداره! چینش باد خوبه
"what can i do for you, principal arroyo?",«چه کاری از دستم بر میاد مدیر» ارویو
"okay, but they put andrew jackson on the 20.",باشه اما اونا عکس اندرو جکسون «رو میذارن روی ۲۰ دلاری»
no!,! نه
hey. hey.,هی، هی
"i was, i was just gonna suggest that.",می‌خواستم همینو بگم اتفاقا
"and, and i feel like i got family again.",و حس می‌کنم دوباره خانواده‌ای دارم
"okay, deep dark secret.",خیلی‌خب، راز تاریک عمیق
so?,خوب؟
i'm all right.,من خوبم
there you are. -riley.,پیدات کردیم - رایلی -
"it's so nice to have everything back in order, and...",خیلی خوبه که همه چیز به نظم و ترتیب خودش برمیگرده
maybe another time?,یه موقع دیگه چطوره؟
you're right.,راست میگی
maybe.,شاید
"now, see these red outlines?",این خط‌های قرمز رو می‌بینید؟
where is he?,کجاست؟
"yeah, no,",اره، نه
we are professional,ما حرفه‌ای هستیم
what? you're lying.,چی؟ دروغ میگی
team's waiting.,بچه‌ها منتظرند
"you're not going to have your high school job. you have a college degree, and you're 30.",مطمینی؟ - تو نمیتونی یه غریق نجات بشی- قرار نیست تو شغل دبیرستان ت رو انجام بدی تو مدرک دانشگاهی داری، ۳۰ سالته
yeah.,. اره
"first, all we have to do is, uh...",…اول، فقط باید
"when he was murdered,",وقتی کشته شد
i'll explain later.,بعدا توضیح میدم
...you're about to get your wings.,دارای پروانه می‌شی
i'm home!,خونه‌ام
"oh, here's when she forgot that girl's name.",این خاطره اون موقع‌ست که اسم دختره رو یادش رفت
regarding the test results.,در مورد نتایج تست صحبت کنم
like you hit somebody with your car.,انگار با ماشینت به یکی زدی
shoot!,شلیک کن
i'm a really good friend.,من دوست خیلی خوبی‌ام
"uh, miss kamen, as your attorney,",خانم کمین، به عنوان وکیل
but not now.,. ولی الان نه
okay... got it.,…باشه فهمیدم
where's praveen?,پروین کجاست؟
you know how my brother died?,میدونی چطوری برادرم مرد؟
let's make this work instead.,بیا به جاش روی این کار کنیم
"javi, i...",…خاوی، من
"ah, the myth of vermont.",اه افسانه‌ی ورمانت
javi...,…خاوی
quick! to the parade of future careers!,زود باشید! به سوی رژه‌ی مشاغل اینده
"now hit the ice, ladies.",برید توی پیست خانم‌ها
todd?,تاد «؟»
in the millions of dollars.,به تنهایی چندین میلیون دلار است
"then i looked at my aunt,",…بعدش به خاله‌ام نگاه کردم
addy! addy!,! ادی! ادی
"miss doctor, we have a problem.",خانم دکتر ما یه مشکلی داریم
hey!,! سلام
something always gets in the way.,یه چیزی مانعش میشه
"i mean, um, i was distracted",…خب، منظورم اینه وقتی‌که
"no, no, no.",نه. نه. نه
get up and glow!,بلند شو و بدرخش
the fuck it isn't. - help me.,خیلیم داره - کمکم کن -
yeah. sounds right. back to the game.,. اره، درسته برگردیم سراغ بازی
and the bartender did corroborate his story.,و متصدی بار داستانشو تایید کرد
"whoa, anger, stop. where are you going?",! اوه خشم، وایسا کجا می‌ری؟
i am merely sucking up his youth like a vampire.,من فقط جوونیش رو مثل یه خون‌اشام می‌کنم
"tell the folks how you do that, kate.",براشون بگو چطور این کار رو انجام می‌دی کیت
i'll fucking kill you!,میکشمت
you on break again?,باز رفتید استراحت؟
wow.,وای
because we're running out of time.,چون زمانمون داره تموم میشه
left the kid and just gone away.,بیخیال بچه می‌شدی و می‌رفتی
"but i think we got her where we want her, so.",ولی گمانم به جایی که میخوایم رسوندیمش
run.,بدو
"plan b? - plan b, baby.",نقشه ب؟ - نقشه ب عزیزم -
i'm sorry.,. متاسفم
oh. that was our favorite shirt.,اوه، این تی‌شرت موردعلاقه‌مون بود
win the championship!,قهرمان می‌شه
"easy, 22, easy.",اروم ۲۲، اروم
"okay, here we go.",خیلی خب. بیا بریم
"joe gardner, where have you been?",جو گاردنر تا الان چیکار می‌کردی؟
you're leaving.,. تو داری میری
devoted to helping the lost souls of earth find their way.,مامور کمک کردن به روح‌هایی که راهشون به زمین رو گم کردن
you will have to tune back into your physical surroundings.,باید با احاطه‌کننده بدن هماهنگ بشی
anyone there?,کسی اونجاست؟
lifeguard?,نجات‌غریق
sorry. what did i do?,ببخشید، مگه چی کار کردم؟
just put your strap on.,کمربندت رو ببند
we're going to be okay!,! چیزی نمی‌شه
but i kept asking myself...,…اما هی از خودم می‌پرسیدم
"well, she was.",خب، کسکش بود دیگه
no...,…نه
all right.,. خیلی خب
having ad.d. does not mean you should be in special ed.,این‌که‌ای. دی دی داری دلیل نمیشه که توی یه حالت خاصی باشی
increasing the cold pool.,و توده هوای سرد رو افزایش می‌ده
imagination land!,! سرزمین تخیلات
this is the cat i was telling you about.,این گربه ایه که درموردش بهت می‌گفتم
okay. don't look. don't look. don't look.,. خیلی خب. نگاه نکن. نگا نکن.
"i mean, it's a complete map of the chaos.",یه نقشه کامل از هرج‌ومرج‌ه
not so close to home.,نه اینقدر نزدیک به خونه
"well, dani might be a little mad at us,",خب، احتمالا دنی یه‌کم از دست‌مون عصبانی شده
not yet.,هنوز نه
are they talking about us?,دارن درباره ما حرف می‌زنن؟
"i'm so proud of you, joey.",خیلی بهت افتخار می‌کنم جویی
"okay, man, i'll... i'll catch up with you guys.",خیلی‌خب پسر، الان میام پیش‌تون
all right! here we go!,! خیلی‌خب! برو بریم
"hey! everyone, go inside! - let's go, guys.",! هی! همگی برید داخل - بریم بچه‌ها -
okay?,باشه؟
"holy cow! i mean, look at those striations!",! پشمام -! شیارها رو ببین -
she's really creative.,خیلی خلاقه
it's all right.,چیزی نیست
we're gonna be best friends.,دوست‌های صمیمی همدیگه می‌شیم
"if we impress coach,",اگه مربی رو تحت تاثیر قرار بدیم
you're being free? i'm sor-- i'm being... carefree.,تو ازاد میشی؟ -. ببخ …من …بیخیال میشم -
"uh... -oh, no. what now?",وای نه. حالا چی کار کنیم؟
i'm a manipulative megalomaniac who's intensely opportunistic.,من یه خودخواه دغل بازم کسی که به شدت فرصت طلبه
you only got that badge because you were in my body.,فقط برای این نشان رو گرفتی که توی بدن من بودی
let's get this lost soul back home.,بیاید این روح گمشده رو برگردونیم خونه
you can't go down there with that.,نمی‌تونی باهاش بری پایین
"here, i quit. i think jazz is pointless.",بفرمایید، من انصراف می‌دهم فکر می‌کنم جز بی هدفه
no! guys!,! نه! بچه‌ها
"thanks. maybe if i work real hard,",ممنون …شاید اگه منم حسابی تلاش کنم
"you are, believe me.",". خوب میشی,باورم کن"
i... i'm drawing riley!,درام رایلی رو می‌کشم
"you know,",میدونی
you got that in a medium?,سایز مدیومش رو هم دارید؟
do you know him?,می‌شناسیش؟
joe? - huh?,جو؟ - ها؟ -
this is kate's famous middle school project.,این پروژه معروف راهنمایی کیت‌ه
"ah, i was afraid of this. go ahead and sit down.",اوه، از این می‌ترسیدم مستقیم برو و بشین
"has only got blanks in it, man.",تیرهاش مشقیه داش
we got it. we got it. - all right.,گرفتیمش، گرفتیمش - خیلی‌خب -
"okay. well, at least take some water.",خیلی‌خب. حداقل اب با خودت ببر
but i've been trying to tell you.,ولی همه‌ش سعی داشتم بهت بگم
"and, you know, you need to leave,",و میدونی که باید بری
it's terrytime.,این زمان‌بندی تیره
you tell me you're going to accept the full-time position...,گفتی که می‌خواهی شغل تمام وقت رو قبول کنی
"i'm sorry, javi. i...",…ببخشید توی. من
even the badges are fake.,حتی ارم‌ها فیکن
"but if you have questions... -oh, my gosh, mom!",…ولی اگه سوالی داشتی - وای خدا، مامان -
i just use this voice because it annoys people.,از این صدا استفاده می‌کنم چون که مردمو ازار می‌دهد
for riley!,برای رایلی
"i'm telling you, joe.",دارم بهت میگم جو
forgot your keys. thanks.,کلیدات یادت رفت ممنون
please tell me you guys are seeing this right now.,لطفا بگید شماها هم می‌بینید
"my dad took me to this jazz club,",بابام منو به یه کلوپ جاز برد
"if you had anything to do with sully,",اگه دستی توی مرگ سالی داشته باشی
"no, no. no, no. no, no. wait. wait. wait.",". نه,نه. نه,نه. نه,نه. واستا. واستا. وایستا"
you're the boss. -oh...,رییس توی
"fear protects her from the scary stuff she can see,",ترس در برابر چیزهای ترسناکی که می‌تونه ببینه ازش محافظت می‌کنه
"okay, bye.",خیلی‌خب، خداحافظ
it's good to have you back.,خوش‌حالم برگشتی
[ chuckles ] what?,چی؟
"but... they're yours,",اما …اونا متعلق به تو ند …
it's connie. she's here for her lesson.,کانی یه برای کلاس اینجاست
"and the olympics call,",و از کمیته بین‌المللی المپیک تماس بگیرن
"yeah, let me see this. all right, kate.",اره، بذار ببینمش خیلی‌خب کیت
what?,چی؟
wow. this feels really nice.,واقعا حس خوبی داره
"cool, cool, cool.",خوبه، خوبه، خوبه
we can't follow the stream!,نمی‌تونیم جریان رود رو دنبال کنیم
look at her hair!,موهای این رو نگاه
that's why you ruin everything.,واسه همینه گند می‌زنی به همه چیز
come on. come on.,زودباش زودباش
this is all so riley can be happier.,هدفم از این کارها اینه که ریالی رو خوش‌حال‌تر کنم
just up there in the clearing.,اونجا، توی زمین خالی
we're having a once-in-a-generation,…گردبادهایی که توی اکلاهما خیلی نادر بودن
i'm thinking it's water table issues.,من فکر می‌کنم این مشکل مخزن ه ابه
residential property damage alone,…اسیب وارده به املاک مسکونی
i have to go.,. من باید برم
"oh, yeah!",! اوه اره
my name is leigh.,. اسم من «لی» ه
"you're my friend, and i let you suck me down this rabbit hole.","تو دوست منی,و من اجازه میدم که منو تو این. مخمصه بندازی"
detective!,کاراگاه
"uh-uh, uh-uh. i'm outta here.",من از اینجا می‌روم بیرون
here it comes.,دوباره شروع شد
"okay, first stop is the excitable pavilion.",خیلی خب، اولین توقف توی اتاق هیجان اوره
"as in, as in beyond life? - yeah.",مثل، مثل دنیای دیگه؟ - اره -
found him.,پیداش کردم
i just need to fill out that last box.,من فقط باید جای اخر رو پر کنم
fine. get us the numbers.,خیلی‌خب امار و ارقام رو برامون در بیار
"oh, hello, there, terry.",«اوه، سلام» تری
where am i?,کجام؟
"good to see you again, 22.",خوشحالم دوباره می‌بینم ۲۲
moose?,موس «؟»
uh... joe gardner is his name.,اسمش جو گاردنر
you're really okay being on a penny?,تو واقعا مشکلی نداری که عکست روی یه پنی باشه؟
"your tornado isn't shrinking, kate.",گردباد فعلا کوچک نشده کیت
riley's not up there.,رایلی که اون بالا نیست
"playing in his 13th year,",کسی که سیزدهمین سال بازیشه
"no, no, it...",…نه، نه، این
confetti if we make the team!,، اگه عضو تیم شدیم کاغذ رنگی پخش می‌کنه
then how can i be held accountable?,پس چطور من باید پاسخگو باشم؟
"okay, we're good.",خیلی‌خب، خوبه
"sensors rising, 30,000 feet.",سنسورها نشو می‌دن رسیده به ارتفاع ۹ کیلومتری
and you just wanna...,…و دوست داری بهشون بگی
"look, we got phds from nasa, fema, noaa, nws.",ببین، توی تیم‌مون دکترای ناسا، مدیریت بحران فدرال اداره ملی اقیانوسی و جوی و خدمات هواشناسی ملی، داریم
ennui.,کسلی
"something better, something cool. come on.",. یه چیز بهتر، یه چیز باحال یالا
ready the net. - i'm on it.,تور رو اماده کن - حواسم هست -
and all the information we can pull on them.,و کل اطلاعاتی که توانستیم ازشون به دست بیاریم
"let's try and have fun. i know that it's weird, whatever.",بیا سعی کنیم یه کم حال کنیم میدونم یکم عجیبه حالا هر چی
there were four of them.,چهار تا بودن
"yes, yes.",اره. اره
"i'm, i'm done.",من دیگه خسته شدم
jovan? jovan!,جووان؟! جوان
"yeah, we're... we're on the youtube.",اره، ما …ما توی یوتیوبیم
look at that! that's my girl!,! نگاه‌ش کن اون دختر منه
joey.,جویی
obviously.,. بدون شک
"uh, she made the fire hawks when she was only a freshman.",وقتی به تیم شاهین‌های اتشین راه پیدا کرد، سال اولی بود
which one do you think will work the best?,به‌نظرتون کدومش بیش‌تر به‌درد می‌خوره؟
so what do we do?,خب، چی کار می‌کنیم؟
yeah.,اره
"oh, thanks so much, wee-wee.",خیلی ممنون لی‌لی
what the...,…چی
"oh, she had that early on.",اوه، کیت از بچگی غریزه خوبی داشت
"all right, oklahoma,",خیلی‌خب مردم اکلاهما
nothing.,هیچی
okay? just stay quiet.,فقط ساکت بودن
"it's getting worse every year,",هر سال داره بدتر می‌شه
i'm not good enough.,من ناکافی‌ام
what are they laughing about?,به چی می‌خندن؟
"this thing's almost over. come on, let's go.",تقریبا اخرشه بالا بریم
no! you can't have that. put that back.,. نه! نمی‌تونی برش داری بذارش سر جاش
"i didn't, i drank that over the whole night.",من نخوردم. در طول شب خوردم
"you know, we're gonna be stuck here all day",…می‌دونی، کل روز رو قراره اینجا گیر بیفتیم
"you're saying, wait, what are you saying?",…یعنی میگی وایسا چی میگی؟
"no, no way. too much heat.",نه. عمرا. خیلی ضایعه
does anybody know what cool people laugh about?,کسی می‌دونه که ادم باحال‌ها به چی می‌خندن؟
it's alive! - hold on!,! زنده‌ست -! سفت بچسبید -
"oh, i can show you. you're gonna love this.",. می‌تونم نشونت بدم عاشقش می‌شی
you find the dog?,اون سگ رو پیدا کردی؟
it says take one.,این یه قانون رو میگه
"oh, yeah, that's right up from tony tony tonios.",اوه، اره «درست جلوی» تونی تونی تونیوس
i would-- i would say you both have a very keen eye...,باید.. باید بگم که شما دوتا چشمای خیلی تیزی دارید
"oh, shit. whoa.",اوه، لامصب، اوه
it's bloofy!,بلوفیه
"oh, she wants to sit with us.",اوه، می‌خواد داشته هم‌نشین باشیم
"you know, i'm al--","…میدونی,من اج"
"wait, are you actually helping me?",وایسا، تو داری کمکم می‌کنی؟
"uh, sorry to interrupt you, but they're walking away.",، ببخشید می‌پرم وسط حرف‌تون ولی دارن می‌رن
"no, no, no. we charge the goalie!",نه، نه، دروازه‌بان رو چارج می‌کنیم
two million.,دو میلیون
"all right, right, guys, right.",خیلی‌خب، می‌ریم سمت راست بچه‌ها سمت راست
the long way did turn out,راه طولانی، یه‌کم طولانی‌تر از
"oh, shoot.",لعنتی
"and so we did, right?",و صحبت کردیم. نه؟
what?,چی؟
i have my routine.,روتین خودمو دارم
i'm pretty sure i opened the back hatch of someone's--,…تقریبا مطمینم که کیون یکیو باز کردم
"yeah, i couldn't get boone.",اره، نتونستم با بون تماس بگیرم
to open between earth and the astral plane.,تا بین زمین و سیاره ستاره‌ای باز بشه
okay. - oh my god.,باشه خدای من
kate!,! کیت
hi.,سلام
tripping.,خطای اندرسون
"i'm taking you, okay? okay. okay.","من میبرمت,باشه؟. خب. خب"
thought you might be hungry.,گفتم شاید گرسنه باشی
"sadness, it's the fastest way back to headquarters.",غم، این سریع‌ترین راهیه که برای رفتن به مرکز فرماندهی وجود داره
this is kate's favorite slogan.,این شاعر موردعلاقه کیت‌ه
what is riggs getting out of all your data collection?,از این داده‌های شما چی نصیب ریگز می‌شه؟
"more than anybody else in here, okay?",بیشتر نیاز داری این انجام بشه. خب؟
but how much more,…اما می‌خوای اجازه بدی
that guy was lost in the music.,این مرد توی موسیقی گم‌شده بود
to really focus.,. تا من به خودم اومدم …
i--,…من
can i use the restroom? - no.,میشه برم دستشویی؟ نه
"east, well, it's high risk, high reward.",…شرق، خب هر چی خطر بیش‌تر، پاداش هم بیش‌تر
we are not sharing val with them.,وال رو باهاشون شریک نمی‌شیم
in a totally unnatural environment for it.,یک محیط کاملا غیر طبیعی برای اون
you're amazing.,تو فوق‌العاده‌ای
"hey, we got to help her, guys.",هیس بچه‌ها، باید کمکش کنیم
and just what is this spark?,و این جرقه چیه؟
whether she wants you on the team...,چه بخواهد توی تیمش باشی
or walking. i'm really good at walking.,یا راه رفتن کارم توی راه رفتن خوبه
"oh, okay. yeah.",باشه، باشه، اره
val scored two goals.,وال دوتا گل زد
"oh, a pastry chef! -underpaid!",قناد - کم درامده -
haven't we stayed here before?,قبلا اینجا اتاق نگرفتیم؟
his car's gone.,. ماشینش که نیست
"you think maybe i could just,",به نظرت شاید بتونم
that maybe there's something wrong with me. you know?,که نکنه یه مشکلی دارم متوجهی؟
good.,خوبه
and if you feel it...,…و اگه حسش می‌کنی
"what are we waiting for? - no, joe, don't rush this.",منتظر چی هستیم؟ - نه جو، عجله نکن -
"oh, riley's awake.",اوه، رایلی بیدار شده
we eat whatever val eats.,هرچی وال بخوره ما هم می‌خوریم
"get ready, joe gardner, your life is about to start.",برو اماده شو جو گاردنر زندیگت داره شروع میشه
take a left!,! بپیچ چپ
"oh, god.",اوه خدایا
we really should stop sending so many through that pavilion.,ما باید فرستادن ارواح به اتاق رو متوقف کنیم
"uh, that's laying it on a bit thick, don't you think?",به‌نظرت این دیگه یه‌کم زیاده‌روی نیست؟
it's our science project.,پروژه علمی همه‌مونه
"tyler, how'd you come to do this work?",تایلر، تو چطور وارد این کار شدی؟
oh.,اوه
where was the gun?,اسلحه کجا بود؟
yeah. no low-level cape.,اره، شاخص پتانسیل همرفتی پایینی نداره
see? was that so hard?,دیدی؟ سخت نبود
"once again, ladies and gentlemen,",تکرار می‌کنم …خانم‌ها و اقایان
joe! you made it into your body.,! جو توانستی، رفتی توی بدن خودت
"oh, yeah, that's good.",اوه، اره این خوبه
what's wrong?,چی شد؟
"when neither of you returned to the half note,",وقتی هر دوتا تون برگشتید به هف نوشت
so this is all we got.,پس این تنها چیزیه که داریم
go.,برو
"that's right,",درسته
not just musicians. watch this.,فقط موزیسین‌ها نه اینجا رو ببین
"the power we ascribe to it,",…قدرتی که بهش نسبت می‌دیم
"whose side are you on, man?",تو طرف کی هستی؟
i'm an unborn soul and i wanna stay at the you seminar.,من یه روح نابالغم و میخوام توی سمینار شما بمونم
"i see denton,",دنتون رو می‌بینم
"like, a lot...",خیلی زیاد
but he's a really sweet guy.,ولی خیلی پسر خوبیه
"whoa, whoa, whoa! not so fast.",! وو، وو، وو! تند نرو
i just wanna talk.,. فقط میخوام صحبت کنم
"coffee's actually cutting the jones,",قهوه داره تاثیر الکل رو از بین میبره
go!,! برو
is that how you pulled the wool over denton's eyes?,اینجوری دنتون رو گول زدی؟
i'm moonwind stardancer at your service.,من «مون ویند استار دنسر» در خدمتتونم
"yes, sir.",بله قربان
come on!,! زودباش
"uh, overreact much?",یه خورده زیاده‌روی نشد؟
"hey, i see i'm not the only one who likes to start early.",می‌بینم که تو هم مثل من زودتر از بقیه میای تمرین
"i got, i got, i got big city smarts.",هوش و ذکاوت بالایی دارم
"dexter, talk to me. what's going on?",دکستر، توضیح بده چه خبره؟
stop talking.,دیگه بسه
can you not-- stop it.,…نمیتونی تمومش کن
"obviously, don't use that language--",همینطور …از این لحن استفاده نکن
go! ah! get in the car!,! برو! سوار ماشین شو
let's see what we got here.,ببینیم چی داریم
i don't understand.,نمی‌فهمم
thank you.,ممنون
i-- i have four students.,من ….۵ تا دانش‌اموز دارم
"so act like one, please.",پس لطفا مثل حرفه‌ای‌ها رفتار کن
i'm not good enough.,من ناکافی‌ام
"hey, kate.",سلام کیت
my mom has never understood,مامانم هیچ وقت درک نمیکنه
hello? this is tiffany.,الو؟ - تیفانی -
i'm not good enough.,من ناکافی‌ام
he's in the conference room.,توی اتاق کنفرانس‌ه
it's going to be okay. i've got you.,چیزی نمی‌شه گرفتمت
"uh... listen. you can call me joe now, curley.",گوش کن دیگه میتونی بهم بگی جویی
get inside! get inside!,! سوار شید! سوار شید
"[ chuckles ] oh, yeah. and it's normal.",". اوه,اره -. و این عادیه -"
to just move forward and--,…که فقط جلو بری و
thank you!,! ممنون
hmm.,هوم
i'm sorry about your friends.,بابت دوست‌هات متاسفم
this looks really cool.,{\ an ۸} [به اردوی هاکی خوش امدید] خیلی باحال به‌نظر میاد
they're gonna say that it was the fire from the refinery,…قطعا می‌گن که اتش پالایشگاه
or the smoke or a million other things,…یا دود یا هزاران چیز دیگه
"tin man is up! go, go, go!",! مرد حلبی کار گذاشته شد! بریم، بریم، بریم
"so naturally, he wants to stay close.",پس طبیعتا میخواد اینجا بمونه
"no tornado. - we got to find a shelter, fast.",گردبادی در کار نیست - باید یه پناهگاه پیدا کنیم. سریع -
the pool's empty as shit. - do you have a storm shelter?,استخر خالی‌ه - پناهگاه طوفان دارید؟ -
what do you read in her?,تو ذهن اون چیه؟
"yes, i agree completely.",اره، کاملا موافقم
it's time.,وقتشه
how do we create a better one?,چطور می‌تونیم یه مدل بهتر بسازیم؟
"then, i mean, by all means take me down,",خوب منظورم اینکه میتونید من هم دستگیر کنین
"no. - there's a line here, buddy.",نه -! دارم حرف می‌زنم‌ها رفیق -
"no, you did fly. honestly.",راستش پرواز هم کردی
may the tiger run free in tiger heaven...,…شاید ببر تو بهشت ببرها ازادانه میدوه
"guys, whatever's in there, it's big.",بچه‌ها، این هر چی که هست خیلی گنده‌ست
"no, i will not accept this.",نه، من اینو نمی‌پذیرم
"oh, and she's officially",اوه، راستی الان دیگه
can't you get forensics to check the dna?,نمیشه بخش جرم شناسی رو بگی دی ان‌ای چک کنه؟
"see, the tune is just an excuse to bring out the you.",ببین، اواز فقط یه بهانه است که وجودت ابراز کنی
this means you won't get to...,…این یعنی تو
"let's go! come on! let's go! go, go, go, go!",! بریم! زودباشید! بریم -! بریم، بریم، بریم، بریم -
you let this happen?,تو اجازه دادی این اتفاق بیفته؟
"okay, what did moonwind say?",خیلی خب مون ویند چی گفت؟
"i said, city girl knows her stuff, ben.",گفتم دختر شهری‌مون کارش رو بلده بن
i don't like this vessel.,از این شناور خوشم نمیاد
everybody get their last bathroom break in.,دستشویی‌هاتون رو برید
and this is the result.,و این نتیجه شه
that's a little convenient.,این یکم راحته
lunch break!,وقت ناهار
i can't see anything.,هیچی نمی‌بینم
"in the field, in the moment,",…وقتی اونجا بودیم
i liked sully too.,منم از سالی خوشم میومد
take it easy.,اروم باشد
"well, i can only do it with you.",خب، فقط با تو از پسش برمیام
"but no, no, uh,",ولی نه
all that stuff is in your body.,همه‌ی اینا توی بدنه
time to celebrate!,وقت جشن گرفته
"guys, it's here! you got to get inside!",! بچه‌ها، گردباد رسید! باید برید داخل
we gotta get back to my place and get you cleaned up and...,باید برگردیم به خونم …و تو رو تمیز کنم و
what if riley is better than val,اگه رایلی از وال بهتر باشه
extremely. -never mind.,خجالت؟ - بی‌خیالش -
"yeah, yeah.",اره
"come on, riley.",سارا رایلی
that sounds like a yes.,این یعنی ازش اطلاعات داری
gotcha!,! گرفتمت
"oh! ahoy there, fellow astral travellers.",اوه، سلام مسافرهای ستاره‌ای
"when i saw you at the bar, i, i liked you.",وقتی توی بار دیدمت ازت خوشم اومد
"hey, boss.",هی رییس
and i wanted to learn...,…و من خواستم یاد بگیرم که
"hey, riley.",سلام رایلی
we could shoot rockets of that.,می‌تونیم به سمت ابرها، شلیک‌شون کنیم
i didn't get a chance to personally apologize.,من فرصتی بدست نیاورم که. شخصا ازتون معذرت‌خواهی کنم
there's not enough room for bree and grace.,واسه بری و گریس جا نیست
"we got this guy. when he starts to push back, that's what you do.",ما حواسمون به این یارو هست وقتی‌که اون شروع به عقب‌نشینی کرد کار ما به ثمره میشینه
assuming the blood even matches that of the victim,به فرض اینکه خون با دی ان‌ای قربانی مطابقت داشته باشه
what am i missing?,چی رو از قلم انداختم؟
stuck the landing! -we did it!,فرود محشری بود - موفق شدیم -
let's give the mentor some room.,بیاید به مربی یکم استراحت بدهیم
ah...,…اوه
she's right. we'd be stranded.,راست می‌گه، گیر می‌افتیم
"oh, there it is.",دیدمش
"so, we're lost.",پس گم شدیم
nothing. i just need to fill out that last box.,هیچی، فقط باید اخرین جای خالی رو پر کنم
of course i'm delusional!,معلومه که متوهمم
"also, when bagging the last body,",بعدشم زمان جمع کردن جسد اخر
a guy who can help. a guy like you.,کسی که میتونه کمک کنه یکی مثل تو
"i ditched riggs, all right? fresh start.",ریز رو گذاشتم کنار یه شروع تازه
music is all i think about.,موسیقی تنها چیزیه که بهش فکر می‌کنم
"embarrassment, get that out of there!",خجالت، برش دار
but i've learned that every emotion is good for riley.,ولی من متوجه شدم که تمام احساسات برای رایلی مفیدن
see? i told you i'd find it.,دیدین؟ گفته بودم پیداش می‌کنم
there you go. there you go.,بفرما
really?,واقعا؟
in front of someone.,منو زیر سوال بردی
for the rest of camp.,تیم‌بندی می‌کنیم
"i've only been a person for an hour, and even i know that's a bad idea.",من فقط یک ساعته که ادمم و حتی منم میدونم که این ایده بدیه
"wait. wait. mel, what-- what is going on? no, leigh.",". وایستا. واستا - مل «,چی …چی شده؟». «نه,» لی -"
exactly. wait. how do you know all that?,دقیقا، صبرکن چطور اینا رو میدونی؟
"ladies and gentlemen, we're imposing a curfew",خانم‌ها و اقایان، برای امنیت …افراد این منطقه
success is everything. i make mistakes.,. موفقیت از همه‌چیز مهم‌تره من اشتباه می‌کنم
"whoa, whoa. - get off me!",ولم کن
"get ahead of it, get ahead of it.",ازش بزن جلو ازش بزن جلو
orange is not my color. -not me.,نارنجی، رنگ من نیست - کار من هم نبوده -
trash talk the other team?,برای تیم حریف کری بخون؟
"is just follow my lead, that's it.",پیروی از منه. همین
it's sort of like-- right. yeah.,…این تقریبا شبیه درسته، اره
"yeah, of course.",اره، البته
it's gonna be okay.,چیزی نمی‌شه
there's french fry forest and cloud town and...,جنگل سیب‌زمینی سرخ‌کرده …و شهر ابری داره، تازه
"i said, if you feel it...",…گفتم اگه حسش می‌کنی
"and go back to headquarters,",و برگرده به مرکز فرماندهی
our best friends? -no.,با دوست‌های صمیمی‌مون؟ - نه -
"anyway, get plan b ready.",بهرحال نقشه ب رو اماده کن
1.5.,۱ ٫ ۵
"okay, we should get the mixture ready.",خیلی‌خب، باید ترکیب رو اماده کنیم
"what? - the zone is enjoyable,",چی؟ - محدوده لذت بخشه -
here's the mystery.,اما چیزی که نمی‌دونیم، اینه
job security.,امنیت شغلی
you take strange women home with you?,زن‌های غریبه رو می‌بری خونه؟
what? what are you talking about?,چی؟ درمورد چی صحبت می‌کنی؟
"oh, no. i really shouldn't.",وای نه، بهتره نیام
you can't crush a soul here.,اینجا نمیتونی یه روح رو نابود کنی
"oh, okay. i've never seen 22 this enthused.",اوه، باشه من تاحالا ۲۲ رو انقدر مشتاق ندیده بودم
"kate, come on!",! کیت، زودباش
"there, there. - there's no need to be afraid.",اونجا، اونجا - نیازی نیست بترسی -
"thanks, i try.",ممنون. تلاشم رو می‌کنم
"which one are we going, left or right?",سراغ کدوم بریم؟ راستی یا چپی؟
"first of all, ""jazzing"" is not a word.",اول از همه «جازینگ» یه کلمه نیست
"feels like you're in the zone, right?",فکر می‌کنید توی محدوده هستید درسته؟
"okay, we're doomed.",خیلی‌خب، به فنا رفتیم
"you're lying about that though, right?",در موردش دروغ میگی. نه؟
"hey! get inside! ma'am, stay out of the car.",! هی! سوار شو - خانم، سوار ماشین نشوید -
due to increasing winds,…با توجه به افزایش شدت باد
i get it.,درک‌تون می‌کنم
"this is a really good story, raj.",«این واقعا داستان خوبیه،» راج
okay?,باشه؟
the people! there's people! - i don't care about the people!,! مردم! مردم اونجان -! مردم برام مهم نیستن -
"i mean, because we have lives...",یعنی، چون ما زندگی‌هایی داریم که
you can give it an honest try.,میتونی واقعا تلاش کنی
what the hell are you doing?,چه غلطی می‌کنی؟
skate harder! -this is the worst.,یه تکونی به خودت بده - وای، خیلی بده -
be careful. we don't want you getting hurt.,مراقب باش ما نمیخوایم که تو اسیب ببینی
over the next 36 hours.,ممکنه طوفان‌های شدید در سرتاسر اکلاهما شکل بگیره
"yeah. - well, this is the zone.",اره - خب، این محدوده اس -
here it is.,ایناهاش
